Item,Unit,Price_PKR,Notes
Wheat Flour (Atta),Per kg,150,Chakki whole wheat
Roti,Per piece,25,Tandoori or homemade
Naan,Per piece,35,Plain tandoori
Paratha,Per piece,60,Plain tandoori/tawa
Rice (Basmati),Per kg,430,Regular basmati
Rice (Sella),Per kg,380,Parboiled rice
Chicken (Whole Cut),Per kg,800,Fresh meat with bone
Chicken Boneless,Per kg,1250,Breast/thigh fillets
Beef (With Bone),Per kg,1100,Fresh meat
Beef (Boneless),Per kg,1350,Fresh meat
Mutton,Per kg,1900,Fresh goat/sheep
Fish,Per kg,850,Fresh river/sea fish
Egg,Per piece,26,Chicken egg (~310/dozen)
Milk (Fresh),Per liter,220,Loose buffalo/cow milk
Milk (Tetrapack),Per liter,290,Packaged milk
Yogurt (Dahi),Per kg,230,Plain yogurt
Paneer,Per kg,2000,Fresh cottage cheese
Daal Chana,Per kg,300,Split Bengal gram
Daal Moong,Per kg,320,Yellow lentils
Daal Maash,Per kg,500,Washed black gram
Daal Masoor,Per kg,260,Red lentils
White Chana,Per kg,420,Chickpeas
Rajma,Per kg,750,Red kidney beans
Potato (Aloo),Per kg,90,Fresh
Onion (Piaz),Per kg,130,Fresh
Tomato (Tamatar),Per kg,120,Fresh
Garlic (Lashan),Per kg,450,Local/China mix
Ginger (Adrak),Per kg,650,Fresh
Green Chilli,Per kg,180,Fresh
Spinach (Palak),Per kg,80,Fresh leafy
Ladyfinger (Bhindi),Per kg,140,Fresh
Cooking Oil,Per liter,590,Branded pouch
Banaspati Ghee,Per kg,580,Branded pouch
Butter,Per 200g,420,Salted pack
Sugar,Per kg,150,White granulated
Tea (Patti),Per 200g,360,Loose/Packaged black tea
Bread (Large),Per loaf,230,Plain white bread
Banana,Per dozen,180,Medium size
Apple,Per kg,280,Local Pakistani
Dates (Khajoor),Per kg,800,Aseel/Iranian
Samosa,Per piece,45,Potato filled
Pakora,Per kg,450,Mixed vegetable
Chicken Biryani,Per plate,380,Single serving
Chicken Karahi,Per half kg,850,Dhaba style
Tea (Prepared),Per cup,70,Dhaba milk tea
