brand,product,price_pkr,shop,authentic_source,category
Jenpharm,MandelAC Face Wash 100ml,1250,Pharmacy/Online,Jenpharm Official / Dvago,cleanser
Jenpharm,Dermive Oily Moisturizer 100ml,1000,Pharmacy/Online,Jenpharm Official / Dvago,moisturizer
Jenpharm,Dermive Urea Moisturizer 100ml,1100,Pharmacy/Online,Jenpharm Official / Dvago,moisturizer
Jenpharm,Spectra Block SPF 60 50g,1550,Pharmacy/Online,Jenpharm Official / Dvago,sunscreen
Jenpharm,Maxdiff Brightening Serum 30ml,2200,Pharmacy/Online,Jenpharm Official / Dvago,serum
Organic Traveller,Quench Hyaluronic Acid Serum 30ml,1500,Online,Organic Traveller Official,serum
Organic Traveller,Glow Vitamin C Serum 30ml,1500,Online,Organic Traveller Official,serum
Organic Traveller,Clear Salicylic Acid Serum 30ml,1500,Online,Organic Traveller Official,serum
Organic Traveller,Zero Feel Sunscreen SPF 50 50ml,1800,Online,Organic Traveller Official,sunscreen
Organic Traveller,Cleanse Face Wash 100ml,1200,Online,Organic Traveller Official,cleanser
Conatural,Rose Face Wash 100ml,1200,Online/Daraz,Conatural Official,cleanser
Conatural,Vitamin C Face Serum 30ml,2200,Online/Daraz,Conatural Official,serum
Conatural,Saffron Complexion Builder 30ml,2500,Online/Daraz,Conatural Official,serum
Conatural,Organic Aloe Vera Gel 100g,1000,Online/Daraz,Conatural Official,soothing
Conatural,Essential Daily Moisturizer 100ml,1500,Online/Daraz,Conatural Official,moisturizer
Saeed Ghani,Pure Rose Water 120ml,180,Online/Daraz,Saeed Ghani Official,toner
Saeed Ghani,Aloe Vera Gel 150g,400,Online/Daraz,Saeed Ghani Official,soothing
Saeed Ghani,Goat Milk Face Wash 100ml,350,Online/Daraz,Saeed Ghani Official,cleanser
Rivaj UK,Sunblock SPF 60 150ml,750,Online/Supermarket,Rivaj UK Official,sunscreen
Rivaj UK,Crushed Aloe Vera Face Wash 100ml,450,Online/Supermarket,Rivaj UK Official,cleanser
Vince,Vitamin C Face Wash 120ml,950,Online/Supermarket,Vince Official,cleanser
Vince,Sunblock SPF 50 75ml,1250,Online/Supermarket,Vince Official,sunscreen
Vince,Hydrating Lotion 100ml,1100,Online/Supermarket,Vince Official,moisturizer
Chiltan Pure,Hyaluronic Acid Serum 30ml,1200,Online,Chiltan Pure Official,serum
Chiltan Pure,Aloe Vera Gel 200ml,800,Online,Chiltan Pure Official,soothing
Chiltan Pure,Sunblock SPF 50 50ml,1000,Online,Chiltan Pure Official,sunscreen
Primary Skincare,Jasmine Dew Face Mist 100ml,1450,Online,Primary Skincare Official,toner
Primary Skincare,Glow Toner 100ml,1850,Online,Primary Skincare Official,toner
B&B Dermaceuticals,Niacinamide 10% Serum 30ml,1500,Online,B&B Dermaceuticals Official,serum
B&B Dermaceuticals,Salicylic Acid Cleanser 100ml,1200,Online,B&B Dermaceuticals Official,cleanser
Golden Pearl,Lightening & Clearing Face Wash 100ml,350,Supermarket/Daraz,Golden Pearl Official,cleanser
Golden Pearl,Sun Block SPF 60 60g,600,Supermarket/Daraz,Golden Pearl Official,sunscreen
Golden Pearl,Beauty Cream 30g,400,Supermarket/Daraz,Golden Pearl Official,treatment
Nutrifactor,Biotin Plus (30 Tablets),1200,Pharmacy/Online,Nutrifactor Official / Dvago,supplement
Nutrifactor,Nutra C Plus (30 Tablets),850,Pharmacy/Online,Nutrifactor Official / Dvago,supplement
Nutrifactor,Gluta Fair (30 Tablets),2500,Pharmacy/Online,Nutrifactor Official / Dvago,supplement
Nutrifactor,Zinc Plus (30 Tablets),750,Pharmacy/Online,Nutrifactor Official / Dvago,supplement
Nutrifactor,Bonex-D (30 Tablets),1100,Pharmacy/Online,Nutrifactor Official / Dvago,supplement
Nutrifactor,Sensolin (30 Tablets),1500,Pharmacy/Online,Nutrifactor Official / Dvago,supplement
Hilton Pharma,Zincat 20mg (10 Tablets),150,Pharmacy,Registered Pharmacies (Dvago.pk),supplement
Getz Pharma,CaC-1000 Plus (10 Effervescent Tablets),250,Pharmacy,Registered Pharmacies (Dvago.pk),supplement
Abbott Pakistan,Surbex-Z (30 Tablets),600,Pharmacy,Registered Pharmacies (Dvago.pk),supplement
